Date,CustomerID,Price,Promotion,Age,Education,Income,Female,Sales,Return
1,1,4.9,0,35,1,4200,1,8,1
1,2,4.9,0,30,1,4200,0,8,1
1,3,4.9,0,32,1,4200,0,12,0
1,4,4.9,0,31,1,4200,0,9,0
1,5,4.9,0,36,1,4200,0,9,0
1,6,4.9,0,39,2,4400,0,12,0
1,7,4.9,0,34,1,4300,1,10,0
1,8,4.9,0,34,1,4200,0,6,0
1,9,4.9,0,29,1,4200,1,8,1
1,10,4.9,0,31,1,4100,1,8,0
1,11,4.9,0,37,1,4200,0,11,0
1,12,4.9,0,34,2,4200,0,10,0
1,13,4.9,0,30,1,4100,1,10,1
1,14,4.9,0,30,1,4100,0,9,0
1,15,4.9,0,40,1,4200,0,8,0
1,16,4.9,0,44,1,4400,0,12,1
1,17,4.9,0,39,1,4400,1,10,0
1,18,4.9,0,35,1,4300,0,5,0
1,19,4.9,0,38,2,4300,1,10,0
1,20,4.9,0,38,1,4300,0,8,0
1,21,4.9,0,34,2,4200,1,7,0
1,22,4.9,0,37,1,4400,0,8,0
1,23,4.9,0,36,1,4200,0,7,1
1,24,4.9,0,33,2,4500,0,7,0
1,25,4.9,0,34,2,4200,1,8,1
1,26,4.9,0,30,2,4200,1,6,0
1,27,4.9,0,34,2,4400,1,11,1
1,28,4.9,0,35,1,4200,0,9,0
1,29,4.9,0,34,1,4200,1,7,1
1,30,4.9,0,32,2,4200,0,11,1
1,31,4.9,0,31,2,4200,0,10,1
1,32,4.9,0,34,1,4400,0,8,0
1,33,4.9,0,41,1,4100,1,11,0
1,34,4.9,0,42,1,4200,1,11,0
1,35,4.9,0,31,1,4200,1,11,1
1,36,4.9,0,32,1,4200,1,10,1
1,37,4.9,0,35,1,4200,0,10,1
1,38,4.9,0,36,1,4100,0,9,0
1,39,4.9,0,30,1,4200,0,8,1
1,40,4.9,0,34,1,4200,0,8,0
1,41,4.9,0,35,1,4300,0,8,0
1,42,4.9,0,23,1,4300,0,8,1
1,43,4.9,0,32,1,4200,1,6,0
1,44,4.9,0,35,2,4600,0,13,0
1,45,4.9,0,38,2,4400,1,11,0
1,46,4.9,0,30,1,4300,0,7,0
1,47,4.9,0,38,2,4200,1,8,0
1,48,4.9,0,32,1,4200,0,8,1
1,49,4.9,0,37,1,4200,0,10,0
1,50,4.9,0,33,1,4200,1,9,1
1,51,4.9,0,32,2,5400,1,10,0
1,52,4.9,0,32,2,5500,1,9,0
1,53,4.9,0,31,2,5500,0,9,0
1,54,4.9,0,23,2,5300,0,12,0
1,55,4.9,0,28,2,5500,1,9,0
1,56,4.9,0,28,2,5300,0,12,0
1,57,4.9,0,33,2,5600,1,6,1
1,58,4.9,0,24,2,5000,0,10,1
1,59,4.9,0,29,2,5300,0,9,0
1,60,4.9,0,27,2,5400,1,10,0
1,61,4.9,0,20,2,5000,1,10,0
1,62,4.9,0,30,2,5500,1,8,0
1,63,4.9,0,22,2,5000,1,8,0
1,64,4.9,0,29,2,5400,0,7,0
1,65,4.9,0,29,2,5300,0,7,1
1,66,4.9,0,31,2,5400,1,10,0
1,67,4.9,0,30,2,5500,0,10,0
1,68,4.9,0,27,2,5000,0,9,0
1,69,4.9,0,22,2,5500,1,11,0
1,70,4.9,0,25,2,5100,1,13,0
1,71,4.9,0,32,2,5800,0,8,0
1,72,4.9,0,28,2,5300,1,5,0
1,73,4.9,0,25,2,5500,1,11,0
1,74,4.9,0,28,2,5200,0,8,0
1,75,4.9,0,29,2,5300,1,8,0
1,76,4.9,0,30,2,5400,0,11,0
1,77,4.9,0,28,2,5400,1,9,0
1,78,4.9,0,30,2,5700,0,7,0
1,79,4.9,0,29,2,5500,0,10,1
1,80,4.9,0,26,2,5000,1,9,0
1,81,4.9,0,24,2,5100,0,9,0
1,82,4.9,0,24,2,5000,0,10,1
1,83,4.9,0,27,2,5200,1,8,0
1,84,4.9,0,27,2,5600,1,11,0
1,85,4.9,0,30,2,5500,0,9,1
1,86,4.9,0,34,2,5600,1,10,0
1,87,4.9,0,31,2,5500,0,11,0
1,88,4.9,0,23,2,5300,0,10,1
1,89,4.9,0,30,2,5300,0,8,1
1,90,4.9,0,25,2,5300,1,11,1
1,91,4.9,0,26,2,5200,1,11,0
1,92,4.9,0,30,2,5400,0,10,1
1,93,4.9,0,26,2,5200,1,10,0
1,94,4.9,0,23,2,5000,1,8,0
1,95,4.9,0,27,2,5300,1,12,0
1,96,4.9,0,30,2,5200,0,8,0
1,97,4.9,0,29,2,5300,1,14,0
1,98,4.9,0,29,2,5300,0,12,0
1,99,4.9,0,25,2,5100,1,9,0
1,100,4.9,0,28,2,5300,1,7,0
1,101,4.9,0,33,3,6500,1,8,0
1,102,4.9,0,27,2,5900,0,10,0
1,103,4.9,0,30,3,6100,1,9,1
1,104,4.9,0,29,3,5800,0,9,0
1,105,4.9,0,30,3,6200,1,7,0
1,106,4.9,0,30,3,6100,1,9,0
1,107,4.9,0,25,2,5700,1,8,0
1,108,4.9,0,29,3,5800,1,6,0
1,109,4.9,0,25,3,5800,0,8,0
1,110,4.9,0,36,3,6500,1,11,0
1,111,4.9,0,32,2,6000,0,8,0
1,112,4.9,0,27,3,5900,0,10,0
1,113,4.9,0,30,3,6100,1,6,0
1,114,4.9,0,25,2,6000,1,9,0
1,115,4.9,0,28,2,6400,1,10,0
1,116,4.9,0,32,3,6300,0,10,0
1,117,4.9,0,30,3,5800,0,9,0
1,118,4.9,0,38,3,6200,1,8,0
1,119,4.9,0,26,3,6300,1,8,0
1,120,4.9,0,22,2,5500,0,7,0
1,121,4.9,0,32,3,6300,1,10,0
1,122,4.9,0,28,2,6000,0,7,0
1,123,4.9,0,28,3,6000,1,8,0
1,124,4.9,0,27,2,5800,0,9,0
1,125,4.9,0,33,3,6100,1,13,1
1,126,4.9,0,32,3,5800,1,8,0
1,127,4.9,0,28,2,5800,1,10,0
1,128,4.9,0,30,2,5800,0,9,0
1,129,4.9,0,28,3,6100,1,7,0
1,130,4.9,0,30,3,5600,0,9,0
1,131,4.9,0,28,3,5900,1,12,0
1,132,4.9,0,38,3,6000,1,10,0
1,133,4.9,0,28,3,6200,0,9,0
1,134,4.9,0,28,2,5500,1,8,0
1,135,4.9,0,26,3,5400,0,5,0
1,136,4.9,0,30,3,6300,0,12,0
1,137,4.9,0,34,3,6400,1,6,0
1,138,4.9,0,31,3,5800,0,11,0
1,139,4.9,0,30,2,5800,0,13,0
1,140,4.9,0,31,3,6100,0,6,1
1,141,4.9,0,31,3,6400,1,11,0
1,142,4.9,0,31,2,6300,1,9,0
1,143,4.9,0,27,2,5900,0,6,0
1,144,4.9,0,32,3,6300,0,6,0
1,145,4.9,0,33,3,6500,1,6,0
1,146,4.9,0,30,3,6300,1,8,0
1,147,4.9,0,25,2,5900,1,6,0
1,148,4.9,0,30,3,6000,1,11,0
1,149,4.9,0,34,3,6300,0,14,0
1,150,4.9,0,30,2,5800,0,7,1
2,1,4.9,1,35,1,4200,1,12,1
2,2,4.9,1,30,1,4200,0,11,1
2,3,4.9,1,32,1,4200,0,10,0
2,4,4.9,1,31,1,4200,0,7,1
2,5,4.9,1,36,1,4200,0,9,1
2,6,4.9,1,39,2,4400,0,9,0
2,7,4.9,1,34,1,4300,1,12,1
2,8,4.9,1,34,1,4200,0,9,1
2,9,4.9,1,29,1,4200,1,12,1
2,10,4.9,1,31,1,4100,1,10,1
2,11,4.9,1,37,1,4200,0,11,1
2,12,4.9,1,34,2,4200,0,7,1
2,13,4.9,1,30,1,4100,1,8,1
2,14,4.9,1,30,1,4100,0,16,1
2,15,4.9,1,40,1,4200,0,8,1
2,16,4.9,1,44,1,4400,0,10,1
2,17,4.9,1,39,1,4400,1,12,1
2,18,4.9,1,35,1,4300,0,8,1
2,19,4.9,1,38,2,4300,1,11,1
2,20,4.9,1,38,1,4300,0,10,1
2,21,4.9,1,34,2,4200,1,10,0
2,22,4.9,1,37,1,4400,0,9,0
2,23,4.9,1,36,1,4200,0,9,0
2,24,4.9,1,33,2,4500,0,14,0
2,25,4.9,1,34,2,4200,1,9,1
2,26,4.9,1,30,2,4200,1,8,0
2,27,4.9,1,34,2,4400,1,10,1
2,28,4.9,1,35,1,4200,0,10,1
2,29,4.9,1,34,1,4200,1,11,1
2,30,4.9,1,32,2,4200,0,8,0
2,31,4.9,1,31,2,4200,0,7,1
2,32,4.9,1,34,1,4400,0,12,1
2,33,4.9,1,41,1,4100,1,10,1
2,34,4.9,1,42,1,4200,1,9,1
2,35,4.9,1,31,1,4200,1,10,1
2,36,4.9,1,32,1,4200,1,10,1
2,37,4.9,1,35,1,4200,0,11,1
2,38,4.9,1,36,1,4100,0,9,0
2,39,4.9,1,30,1,4200,0,11,1
2,40,4.9,1,34,1,4200,0,8,0
2,41,4.9,1,35,1,4300,0,10,0
2,42,4.9,1,23,1,4300,0,9,0
2,43,4.9,1,32,1,4200,1,11,1
2,44,4.9,1,35,2,4600,0,8,0
2,45,4.9,1,38,2,4400,1,8,1
2,46,4.9,1,30,1,4300,0,13,1
2,47,4.9,1,38,2,4200,1,12,0
2,48,4.9,1,32,1,4200,0,7,1
2,49,4.9,1,37,1,4200,0,8,1
2,50,4.9,1,33,1,4200,1,8,1
2,51,4.9,1,32,2,5400,1,15,0
2,52,4.9,1,32,2,5500,1,13,1
2,53,4.9,1,31,2,5500,0,9,0
2,54,4.9,1,23,2,5300,0,11,0
2,55,4.9,1,28,2,5500,1,10,1
2,56,4.9,1,28,2,5300,0,9,0
2,57,4.9,1,33,2,5600,1,9,1
2,58,4.9,1,24,2,5000,0,8,0
2,59,4.9,1,29,2,5300,0,13,1
2,60,4.9,1,27,2,5400,1,11,1
2,61,4.9,1,20,2,5000,1,11,1
2,62,4.9,1,30,2,5500,1,11,1
2,63,4.9,1,22,2,5000,1,13,1
2,64,4.9,1,29,2,5400,0,8,0
2,65,4.9,1,29,2,5300,0,8,0
2,66,4.9,1,31,2,5400,1,14,0
2,67,4.9,1,30,2,5500,0,9,1
2,68,4.9,1,27,2,5000,0,8,0
2,69,4.9,1,22,2,5500,1,8,0
2,70,4.9,1,25,2,5100,1,8,1
2,71,4.9,1,32,2,5800,0,8,0
2,72,4.9,1,28,2,5300,1,12,0
2,73,4.9,1,25,2,5500,1,13,0
2,74,4.9,1,28,2,5200,0,11,0
2,75,4.9,1,29,2,5300,1,10,0
2,76,4.9,1,30,2,5400,0,10,0
2,77,4.9,1,28,2,5400,1,9,0
2,78,4.9,1,30,2,5700,0,8,1
2,79,4.9,1,29,2,5500,0,11,1
2,80,4.9,1,26,2,5000,1,9,0
2,81,4.9,1,24,2,5100,0,13,0
2,82,4.9,1,24,2,5000,0,9,1
2,83,4.9,1,27,2,5200,1,11,0
2,84,4.9,1,27,2,5600,1,9,0
2,85,4.9,1,30,2,5500,0,8,0
2,86,4.9,1,34,2,5600,1,8,0
2,87,4.9,1,31,2,5500,0,9,0
2,88,4.9,1,23,2,5300,0,10,0
2,89,4.9,1,30,2,5300,0,10,0
2,90,4.9,1,25,2,5300,1,9,0
2,91,4.9,1,26,2,5200,1,9,0
2,92,4.9,1,30,2,5400,0,9,1
2,93,4.9,1,26,2,5200,1,14,1
2,94,4.9,1,23,2,5000,1,8,1
2,95,4.9,1,27,2,5300,1,10,1
2,96,4.9,1,30,2,5200,0,13,0
2,97,4.9,1,29,2,5300,1,10,0
2,98,4.9,1,29,2,5300,0,7,0
2,99,4.9,1,25,2,5100,1,9,1
2,100,4.9,1,28,2,5300,1,12,0
2,101,4.9,1,33,3,6500,1,10,0
2,102,4.9,1,27,2,5900,0,8,0
2,103,4.9,1,30,3,6100,1,10,1
2,104,4.9,1,29,3,5800,0,10,0
2,105,4.9,1,30,3,6200,1,14,0
2,106,4.9,1,30,3,6100,1,11,0
2,107,4.9,1,25,2,5700,1,13,1
2,108,4.9,1,29,3,5800,1,12,0
2,109,4.9,1,25,3,5800,0,9,0
2,110,4.9,1,36,3,6500,1,8,0
2,111,4.9,1,32,2,6000,0,9,0
2,112,4.9,1,27,3,5900,0,9,0
2,113,4.9,1,30,3,6100,1,11,0
2,114,4.9,1,25,2,6000,1,13,1
2,115,4.9,1,28,2,6400,1,15,1
2,116,4.9,1,32,3,6300,0,13,1
2,117,4.9,1,30,3,5800,0,9,0
2,118,4.9,1,38,3,6200,1,7,0
2,119,4.9,1,26,3,6300,1,10,0
2,120,4.9,1,22,2,5500,0,10,1
2,121,4.9,1,32,3,6300,1,12,1
2,122,4.9,1,28,2,6000,0,12,0
